6.394558	6.394558	
12.018141	12.018141
17.233560	17.233560
22.811791	22.811791
28.072562	28.072562
33.560091	33.560091
38.820862	38.820862
44.580499	44.580499
49.795918	49.795918
55.147392	55.147392
60.362812	60.362812
65.714286	65.714286
71.020408	71.020408
76.281179	76.281179
81.179138	81.179138
86.258503	86.258503
91.655329	91.655329
98.412698	98.412698
103.718821	103.718821
109.342404	109.342404
114.421769	114.421769
120.181406	120.181406
126.031746	126.031746
132.426304	132.426304
138.730159	138.730159
143.174603	143.174603
147.709751	147.709751
