4.852608	4.852608	
8.707483	8.707483	
12.789116	12.789116	
16.643991	16.643991	
20.634921	20.634921	
23.537415	23.537415	
28.163265	28.163265	
32.154195	32.154195	
36.281179	36.281179	
40.136054	40.136054	
44.535147	44.535147	
48.571429	48.571429	
52.607710	52.607710	
56.507937	56.507937	
60.453515	60.453515	
64.353741	64.353741	
68.616780	68.616780	
73.287982	73.287982	
77.641723	77.641723	
81.315193	81.315193	
84.671202	84.671202	
89.024943	89.024943	
93.469388	93.469388	
97.278912	97.278912	
101.088435	101.088435	
105.079365	105.079365	
109.206349	109.206349	
112.925170	112.925170	
116.825397	116.825397	
120.952381	120.952381	
124.852608	124.852608	
128.888889	128.888889	
133.514739	133.514739	
137.097506	137.097506	
140.453515	140.453515	
143.854875	143.854875	
147.165533	147.165533	
150.566893	150.566893	
154.240363	154.240363	
158.639456	158.639456	
162.630385	162.630385	
165.941043	165.941043	
169.070295	169.070295	
172.562358	172.562358	
176.507937	176.507937	
179.818594	179.818594	
183.129252	183.129252	
186.394558	186.394558	
189.750567	189.750567	
193.015873	193.015873	
196.417234	196.417234	
199.637188	199.637188	
203.764172	203.764172	
207.845805	207.845805	
211.836735	211.836735	
215.827664	215.827664	
219.274376	219.274376	
222.811791	222.811791	
226.213152	226.213152	
229.705215	229.705215	
233.151927	233.151927	
237.142857	237.142857	
242.902494	242.902494	
247.301587	247.301587	
